"","WD"
"Araucaria angustifolia",0.47
"Myrcia retorta",0.81
"Apuleia leiocarpa",0.87
"Alchornea triplinervia",0.4
"Casearia sylvestris",0.62
"Eugenia uniflora",0.72
"Alsophila setosa",0
"Myrceugenia myrcioides",0.62
