Species;Higuchi;Iffsc;Leveg
Chionanthus micranthus;;0.568455985;
Chionanthus trichotomus;;0.568455985;
Chromolaena;;0.445812837;
Chromolaena laevigata;;0.445812837;
Chrysophyllum;;0.588530728;0.70675
Chrysophyllum gonocarpum;;0.605898047;0.673
Chrysophyllum inornatum;;0.588530728;0.78
Chrysophyllum marginatum;;0.571163408;0.704
Chrysophyllum viride;;0.588530728;0.67
Cinnamodendron;0.528924245;0.499088727;
Cinnamodendron dinisii;0.528924245;0.499088727;
Cinnamomum;0.413980988;0.466206359;0.51
Cinnamomum amoenum;0.413980988;0.466206359;0.51
Cinnamomum glaziovii;;0.466206359;
Cinnamomum hatschbachii;;0.466206359;
Cinnamomum pseudoglaziovii;;0.466206359;
Cinnamomum sellowianum;;0.466206359;
Cinnamomum triplinerve;;0.466206359;
Citharexylum;;0.445958083;
Citharexylum montevidense;;0.445958083;
Citharexylum myrianthum;;0.445958083;
Citharexylum solanaceum;;0.445958083;
Citronella;0.6266;0.704482179;
Citronella engleriana;;0.704482179;
Citronella gongonha;0.6266;0.704482179;
Citronella paniculata;;0.704482179;
Citrus;;0.74;
Citrus reticulata;;0.74;
Citrus x limon;;0.74;
Clethra;0.412291665;0.3743251;0.486
Clethra scabra;0.412291665;0.3743251;0.486
Clethra uleana;;0.3743251;
Clusia;;0.616007408;
Clusia criuva;;0.616007408;
Coccoloba;;0.687333333;
Coccoloba argentinensis;;0.687333333;
Coccoloba cordata;;0.687333333;
Coccoloba warmingii;;0.687333333;
Colletia;;0.569872358;
Colletia paradoxa;;0.569872358;
Colubrina;;0.569872358;
Colubrina glandulosa;;0.569872358;
Condalia;;0.569872358;
Condalia buxifolia;;0.569872358;
Copaifera;;0.55516483;
Copaifera trapezifolia;;0.55516483;
Cordia;;0.478964477;0.644
Cordia americana;;0.560674917;0.688
Cordia ecalyculata;;0.478964477;
Cordia sellowiana;;0.478964477;
Cordia silvestris;;0.397254038;
Cordia trichotoma;;0.478964477;0.6
Cordiera;;0.47153937;
Cordiera concolor;;0.47153937;
Coussapoa;;0.572149186;0.59
Coussapoa microcarpa;;0.572149186;0.59
Coussarea;;0.47153937;0.62
Coussarea contracta;;0.47153937;0.62
Coutarea;;0.47153937;
Coutarea hexandra;;0.47153937;
Crinodendron;0.498849677;0.498849677;
Crinodendron brasiliense  ;0.498849677;0.498849677;
Critoniopsis;;0.445812837;
Critoniopsis quinqueflora;;0.445812837;
Croton;;0.434934442;
Croton celtidifolius;;0.434934442;
Croton macrobothrys;;0.434934442;
Croton urucurana;;0.434934442;
Cryptocarya;;0.477610838;0.57
Cryptocarya aschersoniana;;0.477610838;0.57
Cryptocarya mandioccana;;0.477610838;
Cupania;0.61631648;0.646710502;0.66
Cupania oblongifolia;;0.667966189;
Cupania vernalis;0.61631648;0.625454814;0.66
Curitiba;;0.629388596;
Curitiba prismatica;;0.629388596;
Cybianthus;;0.55778684;
Cybianthus peruvianus;;0.55778684;
Cybistax;;0.547484233;
Cybistax antisyphilitica;;0.547484233;
Cyclolobium;;0.55516483;
Cyclolobium brasiliense;;0.55516483;
Dahlstedtia;;0.515250718;
Dahlstedtia muehlbergiana;;0.515250718;
Dahlstedtia pentaphylla;;0.515250718;
Dahlstedtia pinnata;;0.515250718;
Dalbergia;0.554580768;0.613688097;
Dalbergia brasiliensis;;0.613688097;
Dalbergia frutescens;0.554580768;0.613688097;
Daphnopsis;;0.52;0.4
Daphnopsis fasciculata;;0.52;0.4
Daphnopsis pseudosalix;;0.52;
Dasyphyllum;0.619580193;0.637004006;0.83
Dasyphyllum brasiliense;;0.637004006;
Dasyphyllum spinescens;0.667354611;0.637004006;0.83
Dasyphyllum tomentosum;0.571805775;0.571805775;
Dendropanax;;0.419757226;
Dendropanax australis;;0.419757226;
Diatenopteryx;;0.605309322;0.744
Diatenopteryx sorbifolia;;0.605309322;0.744
Diospyros;;0.730176667;
Diospyros inconstans;;0.83;
Diospyros kaki;;0.630353333;
Dodonaea;;0.607666588;
Dodonaea viscosa;;0.607666588;
Drimys;0.47946995;0.37365999;0.4
Drimys angustifolia;0.566379247;0.377119246;
Drimys brasiliensis;0.392560653;0.370200734;0.4
Duguetia;;0.440995122;
Duguetia lanceolata;;0.440995122;
Duranta;0.458294447;0.445958083;
Duranta vestita;0.458294447;0.445958083;
Endlicheria;;0.466206359;0.63
Endlicheria paniculata;;0.466206359;0.63
Endlicheria robusta;;0.466206359;
Enterolobium;;0.30873759;
Enterolobium contortisiliquum;;0.30873759;
Eriobotrya;;0.88;
Eriobotrya japonica;;0.88;
Erythrina;;0.33135917;0.32
Erythrina crista-galli;;0.33135917;
Erythrina falcata;;0.33135917;0.32
Erythroxylum;0.704395604;0.735358477;0.81
Erythroxylum ambiguum;;0.720430172;
Erythroxylum argentinum;;0.720430172;
Erythroxylum cuneifolium;;0.720430172;
Erythroxylum deciduum;0.704395604;0.81;0.81
Erythroxylum umbu;;0.720430172;
Erythroxylum vacciniifolium;;0.720430172;
Escallonia;0.527648643;0.567333333;
Escallonia bifida;0.527648643;0.567333333;
Escallonia megapotamica;;0.567333333;
Esenbeckia;;0.769608671;0.72
Esenbeckia grandiflora;;0.769608671;0.72
Esenbeckia hieronymi;;0.769608671;
Eucalyptus;;0.697388158;
Eucalyptus dunnii;;0.664103667;
Eucalyptus grandis;;0.661741867;
Eucalyptus saligna;;0.736211227;
Eucalyptus urograndis;;0.803538942;
Eucalyptus viminalis;;0.621345089;
Eugenia;0.72173455;0.661940202;0.815
Eugenia astringens;;0.661940202;
Eugenia bacopari;;0.661940202;
Eugenia beaurepairiana;;0.661940202;
Eugenia brasiliensis;;0.661940202;
Eugenia brevistyla;;0.661940202;
Eugenia burkartiana;;0.661940202;
Eugenia candolleana;;0.661940202;
Eugenia capitulifera;;0.661940202;
Eugenia catharinae;;0.661940202;
Eugenia catharinensis;;0.661940202;
Eugenia cerasiflora;;0.661940202;
Eugenia cereja;;0.661940202;
Eugenia chlorophylla;;0.661940202;
Eugenia excelsa;;0.661940202;
Eugenia florida;;0.661940202;
Eugenia gracillima;;0.661940202;
Eugenia handroana;;0.661940202;
Eugenia handroi;;0.661940202;
Eugenia hiemalis;;0.661940202;
Eugenia involucrata;;0.661940202;0.76
Eugenia kleinii;;0.661940202;
Eugenia longipedunculata;;0.661940202;
Eugenia melanogyna;;0.661940202;
Eugenia mosenii;;0.661940202;
Eugenia multicostata;;0.661940202;0.92
Eugenia neoglomerata;;0.661940202;
Eugenia neomyrtifolia;;0.661940202;
Eugenia neotristis;;0.661940202;
Eugenia neoverrucosa;;0.661940202;
Eugenia nutans;;0.661940202;
Eugenia oeidocarpa;;0.661940202;
Eugenia pachyclada;;0.661940202;
Eugenia paracatuana;;0.661940202;
Eugenia platysema;;0.661940202;
Eugenia pluriflora;;0.593833056;
Eugenia prasina;;0.661940202;
Eugenia pruinosa;;0.661940202;
Eugenia pyriformis;0.644430545;0.642947735;
Eugenia ramboi;;0.661940202;
Eugenia rostrifolia;;0.661940202;0.8
Eugenia rotundicosta;;0.661940202;
Eugenia sclerocalyx;;0.661940202;
Eugenia speciosa;;0.661940202;
Eugenia stigmatosa;;0.661940202;
Eugenia subavenia;;0.661940202;
Eugenia subterminalis;;0.661940202;0.78
Eugenia umbellata;;0.661940202;
Eugenia uniflora;0.786051327;0.749039816;
Eugenia uruguayensis;0.734721777;0.661940202;
Eugenia verticillata;;0.661940202;
Euterpe;;0.39;0.39
Euterpe edulis;;0.39;0.39
Faramea;;0.47153937;
Faramea montevidensis;;0.47153937;
Faramea oligantha;;0.47153937;
Ficus;;0.38958333;0.495
Ficus adhatodifolia;;0.370486073;0.58
Ficus arpazusa;;0.38958333;
Ficus cestrifolia;;0.38958333;0.41
Ficus citrifolia;;0.38958333;
Ficus clusiifolia;;0.38958333;
Ficus gomelleira;;0.38958333;
Ficus guaranitica;;0.38958333;
Ficus luschnathiana;;0.408680586;
Ficus obtusiuscula;;0.38958333;
Garcinia;;0.616007408;0.87
Garcinia gardneriana;;0.616007408;0.87
Gleditsia;;0.55516483;
Gleditsia amorphoides;;0.55516483;
Gochnatia;0.490438372;0.490438372;
Gochnatia polymorpha ;0.490438372;0.490438372;
Grazielia;;0.445812837;
Grazielia intermedia;;0.445812837;
Grazielia serrata;;0.445812837;
Grevillea;;0.520687229;
Grevillea robusta;;0.520687229;
Guapira;;0.343043239;0.83
Guapira hirsuta;;0.343043239;
Guapira opposita;;0.343043239;0.83
Guarea;;0.630673796;0.645
Guarea macrophylla;;0.630673796;0.645
Guatteria;;0.440995122;
Guatteria australis;;0.440995122;
Guettarda;;0.47153937;
Guettarda uruguensis;;0.47153937;
Gymnanthes;;0.510100049;
Gymnanthes klotzschiana;;0.510100049;
Handroanthus;;0.547484233;
Handroanthus albus;;0.547484233;
