"","Continent","Country","PlotID","Plot.Code","PlotViewID","Plot.Name","Plot.View.Name","PI","TreeID","Tag.No","Sub.Plot.T1","Sub.Plot.T2","Standardised.SubPlot.T1","X","Y","Standardised.X","Standardised.Y","AllometricRegionID","Family","Genus","Species","Sub.Species","Variety","Original.Identification","Recommended.Family","Recommended.Species","Recommended.Subspecies","Recommended.Variety","FamilyAPGID","GenusID","SpeciesID","SubSpeciesID","Census.No","Census.Date","Voucher.Code","Stem.Group.ID","Main.Stem.Tag","D0","D1","DPOMtMinus1","D2","D3","D4","POM0","POM","F1","F2","F3","F4","Extra.D0","Extra.D","Extra.DPOMtMinus1","Extra.D2","Extra.D3","Extra.D4","Extra.POM0","Extra.POM","Extra.F3","Extra.F4","CI","LI","CF","CD1","CD2","Height","F5","Height.Broken.At","Comments"
"2036","South America","BRAZIL",9520,"PNA-02",11548,"Parna de Aparados da Serra area 2","Main Plot View","Sandra Cristina Müller",4822375,"15345b","I2NE0","NE",NA,NA,NA,NA,NA,5,"Myrtaceae","Myrceugenia","Myrceugenia mesomischa",NA,NA,"Myrceugenia mesomischa","Myrtaceae","Myrceugenia mesomischa",NA,NA,408,16890,423237,NA,3,2021.0315,NA,101133,"15345a",75,75,NA,75,75,75,1300,1300,"ahn","1",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,6,7.5,4,NA,""
"2037","South America","BRAZIL",9520,"PNA-02",11548,"Parna de Aparados da Serra area 2","Main Plot View","Sandra Cristina Müller",4822383,"15354a","I2NE0","NE",NA,NA,NA,NA,NA,5,"Myrtaceae","Myrceugenia","Myrceugenia cucullata",NA,NA,"Myrceugenia cucullata","Myrtaceae","Myrceugenia cucullata",NA,NA,408,16890,423200,NA,3,2021.0315,NA,101134,"15354a",127,127,NA,127,127,127,1300,1300,"ahn","1",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5,NA,NA,NA,""
"2038","South America","BRAZIL",9520,"PNA-02",11548,"Parna de Aparados da Serra area 2","Main Plot View","Sandra Cristina Müller",4822384,"15354b","I2NE0","NE",NA,NA,NA,NA,NA,5,"Myrtaceae","Myrceugenia","Myrceugenia cucullata",NA,NA,"Myrceugenia cucullata","Myrtaceae","Myrceugenia cucullata",NA,NA,408,16890,423200,NA,3,2021.0315,NA,101134,"15354a",81,81,NA,81,81,81,1300,1300,"ahn","1",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5,NA,NA,NA,""
"2039","South America","BRAZIL",9520,"PNA-02",11548,"Parna de Aparados da Serra area 2","Main Plot View","Sandra Cristina Müller",4822391,"15361a","I2NE0","NE",NA,NA,NA,NA,NA,5,"Euphorbiaceae","Sapium","Sapium glandulosum",NA,NA,"Sapium glandulosum","Euphorbiaceae","Sapium glandulosum",NA,NA,415,10870,536333,NA,3,2021.0315,NA,101135,"15361a",274,274,NA,274,274,274,1300,1300,"ahn","1",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,8.5,13,4,NA,""
"2040","South America","BRAZIL",9520,"PNA-02",11548,"Parna de Aparados da Serra area 2","Main Plot View","Sandra Cristina Müller",4822392,"15361b","I2NE0","NE",NA,NA,NA,NA,NA,5,"Euphorbiaceae","Sapium","Sapium glandulosum",NA,NA,"Sapium glandulosum","Euphorbiaceae","Sapium glandulosum",NA,NA,415,10870,536333,NA,3,2021.0315,NA,101135,"15361a",137,137,NA,137,137,137,1300,1300,"ahn","1",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,8.5,13,4,NA,""
"2041","South America","BRAZIL",9520,"PNA-02",11548,"Parna de Aparados da Serra area 2","Main Plot View","Sandra Cristina Müller",4822394,"15363a","I2NE0","NE",NA,NA,NA,NA,NA,5,"Araucariaceae","Araucaria","Araucaria angustifolia",NA,NA,"Araucaria angustifolia","Araucariaceae","Araucaria angustifolia",NA,NA,186,2471,38291,NA,3,2021.0315,NA,101136,"15363a",539,539,NA,539,539,539,1300,1300,"fhn","1",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,8,18,4,NA,"debilitada"
"2042","South America","BRAZIL",9520,"PNA-02",11548,"Parna de Aparados da Serra area 2","Main Plot View","Sandra Cristina Müller",4822395,"15363b","I2NE0","NE",NA,NA,NA,NA,NA,5,"Araucariaceae","Araucaria","Araucaria angustifolia",NA,NA,"Araucaria angustifolia","Araucariaceae","Araucaria angustifolia",NA,NA,186,2471,38291,NA,3,2021.0315,NA,101136,"15363a",229,229,NA,229,229,229,1300,1300,"ahn","1",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,8,18,4,NA,""
"2043","South America","BRAZIL",9520,"PNA-02",11548,"Parna de Aparados da Serra area 2","Main Plot View","Sandra Cristina Müller",4822396,"15364a","I2NE0","NE",NA,NA,NA,NA,NA,5,"Myrtaceae","Myrceugenia","Myrceugenia mesomischa",NA,NA,"Myrceugenia mesomischa","Myrtaceae","Myrceugenia mesomischa",NA,NA,408,16890,423237,NA,3,2021.0315,NA,101137,"15364b",183,183,NA,183,183,183,1300,1300,"ahn","1",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,8.5,12,4,NA,""
"2044","South America","BRAZIL",9520,"PNA-02",11548,"Parna de Aparados da Serra area 2","Main Plot View","Sandra Cristina Müller",4822397,"15364b","I2NE0","NE",NA,NA,NA,NA,NA,5,"Myrtaceae","Myrceugenia","Myrceugenia mesomischa",NA,NA,"Myrceugenia mesomischa","Myrtaceae","Myrceugenia mesomischa",NA,NA,408,16890,423237,NA,3,2021.0315,NA,101137,"15364b",208,208,NA,208,208,208,1500,1500,"ahn","1",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,8.5,12,5,NA,""
"2045","South America","BRAZIL",9520,"PNA-02",11548,"Parna de Aparados da Serra area 2","Main Plot View","Sandra Cristina Müller",4822398,"15364c","I2NE0","NE",NA,NA,NA,NA,NA,5,"Myrtaceae","Myrceugenia","Myrceugenia mesomischa",NA,NA,"Myrceugenia mesomischa","Myrtaceae","Myrceugenia mesomischa",NA,NA,408,16890,423237,NA,3,2021.0315,NA,101137,"15364b",143,143,NA,143,143,143,1300,1300,"ahn","1",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,8.5,12,4,NA,""
