"","Continent","Country","PlotID","Plot.Code","PlotViewID","Plot.Name","Plot.View.Name","PI","TreeID","Tag.No","Sub.Plot.T1","Sub.Plot.T2","Standardised.SubPlot.T1","X","Y","Standardised.X","Standardised.Y","AllometricRegionID","Family","Genus","Species","Sub.Species","Variety","Original.Identification","Recommended.Family","Recommended.Species","Recommended.Subspecies","Recommended.Variety","FamilyAPGID","GenusID","SpeciesID","SubSpeciesID","Census.No","Census.Date","Voucher.Code","Stem.Group.ID","Main.Stem.Tag","D0","D1","DPOMtMinus1","D2","D3","D4","POM0","POM","F1","F2","F3","F4","Extra.D0","Extra.D","Extra.DPOMtMinus1","Extra.D2","Extra.D3","Extra.D4","Extra.POM0","Extra.POM","Extra.F3","Extra.F4","CI","LI","CF","CD1","CD2","Height","F5","Height.Broken.At","Comments"
"2047","South America","BRAZIL",9519,"MFO-01",11643,"Maquine: Vale do Forqueta area 1","2_last_censuses","Sandra Cristina Müller",4822121,"100","MF_7.2","",NA,NA,NA,NA,NA,5,"Meliaceae","Trichilia","Trichilia pallens",NA,NA,"Trichilia pallens","Meliaceae","Trichilia pallens",NA,NA,376,16331,599066,NA,1,2014.041,NA,0,"",20,20,NA,20,20,20,1300,1300,"a","1",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"2048","South America","BRAZIL",9519,"MFO-01",11643,"Maquine: Vale do Forqueta area 1","2_last_censuses","Sandra Cristina Müller",4822121,"100","MF_7.2","",NA,NA,NA,NA,NA,5,"Meliaceae","Trichilia","Trichilia pallens",NA,NA,"Trichilia pallens","Meliaceae","Trichilia pallens",NA,NA,376,16331,599066,NA,2,2020.2105,NA,0,"",0,0,NA,0,0,0,0,0,"0","kps",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"2049","South America","BRAZIL",9519,"MFO-01",11643,"Maquine: Vale do Forqueta area 1","2_last_censuses","Sandra Cristina Müller",4822107,"85","MF_6.2","",NA,NA,NA,NA,NA,5,"Meliaceae","Trichilia","Trichilia claussenii",NA,NA,"Trichilia claussenii","Meliaceae","Trichilia claussenii",NA,NA,376,16331,598912,NA,1,2014.041,NA,0,"",35,35,NA,35,35,35,1300,1300,"a","1",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"2050","South America","BRAZIL",9519,"MFO-01",11643,"Maquine: Vale do Forqueta area 1","2_last_censuses","Sandra Cristina Müller",4822107,"85","MF_6.2","",NA,NA,NA,NA,NA,5,"Meliaceae","Trichilia","Trichilia claussenii",NA,NA,"Trichilia claussenii","Meliaceae","Trichilia claussenii",NA,NA,376,16331,598912,NA,2,2020.2105,NA,0,"",36,36,NA,36,36,36,1300,1300,"a","1",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,0.5,4,1,NA,""
"2051","South America","BRAZIL",9519,"MFO-01",11643,"Maquine: Vale do Forqueta area 1","2_last_censuses","Sandra Cristina Müller",4822142,"116","MF_8.1","",NA,NA,NA,NA,NA,5,"Meliaceae","Trichilia","Trichilia claussenii",NA,NA,"Trichilia claussenii","Meliaceae","Trichilia claussenii",NA,NA,376,16331,598912,NA,1,2014.041,NA,0,"",12,12,NA,12,12,12,1300,1300,"0","mr",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"2052","South America","BRAZIL",9519,"MFO-01",11643,"Maquine: Vale do Forqueta area 1","2_last_censuses","Sandra Cristina Müller",4822142,"116","MF_8.1","",NA,NA,NA,NA,NA,5,"Meliaceae","Trichilia","Trichilia claussenii",NA,NA,"Trichilia claussenii","Meliaceae","Trichilia claussenii",NA,NA,376,16331,598912,NA,2,2020.2105,NA,0,"",0,0,NA,0,0,0,0,0,"0","aps",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"2053","South America","BRAZIL",9519,"MFO-01",11643,"Maquine: Vale do Forqueta area 1","2_last_censuses","Sandra Cristina Müller",4822138,"113","MF_8.4","",NA,NA,NA,NA,NA,5,"Meliaceae","Trichilia","Trichilia pallens",NA,NA,"Trichilia pallens","Meliaceae","Trichilia pallens",NA,NA,376,16331,599066,NA,1,2014.041,NA,0,"",13,13,NA,13,13,13,1300,1300,"a","1",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"2054","South America","BRAZIL",9519,"MFO-01",11643,"Maquine: Vale do Forqueta area 1","2_last_censuses","Sandra Cristina Müller",4822138,"113","MF_8.4","",NA,NA,NA,NA,NA,5,"Meliaceae","Trichilia","Trichilia pallens",NA,NA,"Trichilia pallens","Meliaceae","Trichilia pallens",NA,NA,376,16331,599066,NA,2,2020.2105,NA,0,"",12,12,NA,12,12,12,1300,1300,"a","1",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5,0.5,2.5,1,NA,""
"2055","South America","BRAZIL",9519,"MFO-01",11643,"Maquine: Vale do Forqueta area 1","2_last_censuses","Sandra Cristina Müller",4822162,"147","MF_9.2","",NA,NA,NA,NA,NA,5,"Meliaceae","Trichilia","Trichilia pallens",NA,NA,"Trichilia pallens","Meliaceae","Trichilia pallens",NA,NA,376,16331,599066,NA,1,2014.041,NA,0,"",16,16,NA,16,16,16,1300,1300,"a","1",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"2056","South America","BRAZIL",9519,"MFO-01",11643,"Maquine: Vale do Forqueta area 1","2_last_censuses","Sandra Cristina Müller",4822162,"147","MF_9.2","",NA,NA,NA,NA,NA,5,"Meliaceae","Trichilia","Trichilia pallens",NA,NA,"Trichilia pallens","Meliaceae","Trichilia pallens",NA,NA,376,16331,599066,NA,2,2020.2105,NA,0,"",17,17,NA,17,17,17,1300,1300,"a","1",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5,0.5,2.5,1,NA,""
"2057","South America","BRAZIL",9519,"MFO-01",11643,"Maquine: Vale do Forqueta area 1","2_last_censuses","Sandra Cristina Müller",4822178,"185","MF_10.4","",NA,NA,NA,NA,NA,5,"Meliaceae","Trichilia","Trichilia claussenii",NA,NA,"Trichilia claussenii","Meliaceae","Trichilia claussenii",NA,NA,376,16331,598912,NA,1,2014.041,NA,0,"",46,46,NA,46,46,46,1300,1300,"a","1",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"2058","South America","BRAZIL",9519,"MFO-01",11643,"Maquine: Vale do Forqueta area 1","2_last_censuses","Sandra Cristina Müller",4822178,"185","MF_10.4","",NA,NA,NA,NA,NA,5,"Meliaceae","Trichilia","Trichilia claussenii",NA,NA,"Trichilia claussenii","Meliaceae","Trichilia claussenii",NA,NA,376,16331,598912,NA,2,2020.2105,NA,0,"",43,43,NA,43,43,43,1300,1300,"a","1",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,3,6,1,NA,""
"2059","South America","BRAZIL",9519,"MFO-01",11643,"Maquine: Vale do Forqueta area 1","2_last_censuses","Sandra Cristina Müller",4822173,"173","MF_9.3","",NA,NA,NA,NA,NA,5,"Meliaceae","Trichilia","Trichilia claussenii",NA,NA,"Trichilia claussenii","Meliaceae","Trichilia claussenii",NA,NA,376,16331,598912,NA,1,2014.041,NA,0,"",14,14,NA,14,14,14,1300,1300,"0","mr",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"2060","South America","BRAZIL",9519,"MFO-01",11643,"Maquine: Vale do Forqueta area 1","2_last_censuses","Sandra Cristina Müller",4822173,"173","MF_9.3","",NA,NA,NA,NA,NA,5,"Meliaceae","Trichilia","Trichilia claussenii",NA,NA,"Trichilia claussenii","Meliaceae","Trichilia claussenii",NA,NA,376,16331,598912,NA,2,2020.2105,NA,0,"",0,0,NA,0,0,0,0,0,"0","kps",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"2061","South America","BRAZIL",9519,"MFO-01",11643,"Maquine: Vale do Forqueta area 1","2_last_censuses","Sandra Cristina Müller",4822068,"47","MF_3.4","",NA,NA,NA,NA,NA,5,"Meliaceae","Trichilia","Trichilia claussenii",NA,NA,"Trichilia claussenii","Meliaceae","Trichilia claussenii",NA,NA,376,16331,598912,NA,1,2014.041,NA,0,"",18,18,NA,18,18,18,1300,1300,"a","1",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,1,NA,""
"2062","South America","BRAZIL",9519,"MFO-01",11643,"Maquine: Vale do Forqueta area 1","2_last_censuses","Sandra Cristina Müller",4822068,"47","MF_3.4","",NA,NA,NA,NA,NA,5,"Meliaceae","Trichilia","Trichilia claussenii",NA,NA,"Trichilia claussenii","Meliaceae","Trichilia claussenii",NA,NA,376,16331,598912,NA,2,2020.2105,NA,0,"",17,17,NA,17,17,17,1300,1300,"a","1",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,3.5,1,NA,""
